|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
|                                                                              PERCENTAGE OF SAMPLES                                                                            |
|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
|                                                          LABEL                                                           | COUNT  | DEPTH |      METRIC      | UNITS |  SUM   |
|--------------------------------------------------------------------------------------------------------------------------|--------|-------|------------------|-------|--------|
| |00>>> __libc_start_main                                                                                                 | 137314 |     0 | sampling_percent | %     | 12.806 |
| |00>>> __libc_init_first                                                                                                 | 137314 |     0 | sampling_percent | %     | 12.806 |
| |00>>> rocprofsys_init                                                                                                   | 137314 |     0 | sampling_percent | %     | 12.806 |
| |00>>> main                                                                                                              | 137287 |     0 | sampling_percent | %     | 12.804 |
| |00>>> project(std::vector<float, std::allocator<float> >&, std::vector<float, std::allocator<float> >&, std::vector<... |  53653 |     0 | sampling_percent | %     |  5.004 |
| |00>>> lin_solve2(int, std::vector<float, std::allocator<float> >&, std::vector<float, std::allocator<float> > const&... | 131967 |     0 | sampling_percent | %     | 12.308 |
| |00>>> omp_fulfill_event                                                                                                 | 134718 |     0 | sampling_percent | %     | 12.564 |
| |00>>> __sigaction                                                                                                       | 137314 |     0 | sampling_percent | %     | 12.806 |
| |00>>> GOMP_parallel                                                                                                     |  65203 |     0 | sampling_percent | %     |  6.081 |
| |00>>> diffuse(int, std::vector<float, std::allocator<float> >&, std::vector<float, std::allocator<float> > const&, f... |     47 |     0 | sampling_percent | %     |  0.004 |
| |00>>> std::ostream::write(char const*, long)                                                                            |     31 |     0 | sampling_percent | %     |  0.003 |
| |00>>> std::basic_filebuf<char, std::char_traits<char> >::xsputn(char const*, long)                                      |     31 |     0 | sampling_percent | %     |  0.003 |
| |00>>> std::__basic_file<char>::xsputn_2(char const*, long, char const*, long)                                           |     30 |     0 | sampling_percent | %     |  0.003 |
| |00>>> std::basic_ofstream<char, std::char_traits<char> >::close()                                                       |      1 |     0 | sampling_percent | %     |  0.000 |
| |00>>> std::basic_filebuf<char, std::char_traits<char> >::close()                                                        |      1 |     0 | sampling_percent | %     |  0.000 |
| |00>>> std::__basic_file<char>::close()                                                                                  |      1 |     0 | sampling_percent | %     |  0.000 |
| |00>>> _IO_fclose                                                                                                        |      1 |     0 | sampling_percent | %     |  0.000 |
| |00>>> _IO_file_close_it                                                                                                 |      1 |     0 | sampling_percent | %     |  0.000 |
| |00>>> rocprofsys_set_env                                                                                                |      3 |     0 | sampling_percent | %     |  0.000 |
| |00>>> void std::vector<unsigned long, std::allocator<unsigned long> >::_M_realloc_insert<unsigned long>(__gnu_cxx::_... |      1 |     0 | sampling_percent | %     |  0.000 |
| |00>>> rocprofsys_finalize                                                                                               |      2 |     0 | sampling_percent | %     |  0.000 |
| |00>>> std::__throw_bad_optional_access()                                                                                |      2 |     0 | sampling_percent | %     |  0.000 |
| |00>>> __fprintf_chk                                                                                                     |      2 |     0 | sampling_percent | %     |  0.000 |
| |00>>> psiginfo                                                                                                          |      2 |     0 | sampling_percent | %     |  0.000 |
| |00>>> _IO_file_xsputn                                                                                                   |      2 |     0 | sampling_percent | %     |  0.000 |
| |00>>> _IO_file_write                                                                                                    |      2 |     0 | sampling_percent | %     |  0.000 |
| |01>>> pthread_condattr_setpshared                                                                                       | 138740 |     0 | sampling_percent | %     | 20.000 |
| |01>>> std::pair<std::_Rb_tree_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>... | 277480 |     0 | sampling_percent | %     | 40.000 |
| |01>>> omp_fulfill_event                                                                                                 | 138731 |     0 | sampling_percent | %     | 19.999 |
| |01>>> __sigaction                                                                                                       | 138740 |     0 | sampling_percent | %     | 20.000 |
| |01>>> lin_solve2(int, std::vector<float, std::allocator<float> >&, std::vector<float, std::allocator<float> > const&... |      1 |     0 | sampling_percent | %     |  0.000 |
| |02>>> pthread_condattr_setpshared                                                                                       | 139393 |     0 | sampling_percent | %     | 20.000 |
| |02>>> std::pair<std::_Rb_tree_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>... | 278786 |     0 | sampling_percent | %     | 40.000 |
| |02>>> omp_fulfill_event                                                                                                 | 139387 |     0 | sampling_percent | %     | 19.999 |
| |02>>> __sigaction                                                                                                       | 139393 |     0 | sampling_percent | %     | 20.000 |
| |02>>> lin_solve2(int, std::vector<float, std::allocator<float> >&, std::vector<float, std::allocator<float> > const&... |      1 |     0 | sampling_percent | %     |  0.000 |
